Date,regime_causal,regime_viterbi,regime_effective,proba_0,proba_1,confidence,is_uncertain
2022-01-19,1,1,1,3.4272672956331636e-11,0.999999999965894,0.999999999965894,False
2022-01-20,1,1,1,2.4589668833914766e-11,0.9999999999754436,0.9999999999754436,False
2022-01-21,1,1,1,2.5865672098729835e-11,0.9999999999740794,0.9999999999740794,False
2022-01-24,1,1,1,1.702506035965554e-11,0.9999999999831743,0.9999999999831743,False
2022-01-25,1,1,1,2.181020918896341e-11,0.9999999999781721,0.9999999999781721,False
2022-01-26,1,1,1,2.5131425011799903e-11,0.9999999999749889,0.9999999999749889,False
2022-01-27,1,1,1,3.239985588715673e-11,0.9999999999677129,0.9999999999677129,False
2022-01-28,1,1,1,5.39841994432009e-11,0.9999999999458851,0.9999999999458851,False
2022-01-31,1,1,1,7.996368847779518e-11,0.9999999999199645,0.9999999999199645,False
2022-02-01,1,1,1,8.323742740395326e-11,0.9999999999167812,0.9999999999167812,False
2022-02-02,1,1,1,9.325362958210838e-11,0.9999999999067768,0.9999999999067768,False
2022-02-03,1,1,1,8.439404862501669e-11,0.999999999915417,0.999999999915417,False
2022-02-04,1,1,1,5.674298857674422e-11,0.9999999999431566,0.9999999999431566,False
2022-02-07,1,1,1,5.047652780307522e-11,0.999999999949523,0.999999999949523,False
2022-02-08,1,1,1,5.1214467211073884e-11,0.9999999999486135,0.9999999999486135,False
2022-02-09,1,1,1,6.403271581147122e-11,0.9999999999358806,0.9999999999358806,False
2022-02-10,1,1,1,8.000329640100522e-11,0.9999999999199645,0.9999999999199645,False
2022-02-11,1,1,1,1.1172938066351132e-10,0.9999999998881322,0.9999999998881322,False
2022-02-14,1,1,1,2.088161434312047e-10,0.999999999791271,0.999999999791271,False
2022-02-15,1,1,1,5.171038154007001e-10,0.9999999994829523,0.9999999994829523,False
2022-02-16,1,1,1,1.3880995661630555e-09,0.9999999986121111,0.9999999986121111,False
2022-02-17,1,1,1,2.6194860757238116e-09,0.9999999973806553,0.9999999973806553,False
2022-02-18,1,1,1,4.413896079508547e-09,0.9999999955862222,0.9999999955862222,False
2022-02-22,1,1,1,6.155692237620552e-09,0.9999999938440851,0.9999999938440851,False
2022-02-23,1,1,1,1.6813844559404855e-08,0.9999999831861716,0.9999999831861716,False
2022-02-24,1,1,1,2.9208743048398994e-08,0.9999999707911233,0.9999999707911233,False
2022-02-25,1,1,1,4.0723165783288923e-08,0.9999999592769208,0.9999999592769208,False
2022-02-28,1,1,1,5.6654269479386716e-08,0.9999999433457576,0.9999999433457576,False
2022-03-01,1,1,1,1.743518175417241e-07,0.9999998256480619,0.9999998256480619,False
2022-03-02,1,1,1,5.202867000620509e-07,0.999999479713232,0.999999479713232,False
2022-03-03,1,1,1,1.6222422741655843e-06,0.9999983777578989,0.9999983777578989,False
2022-03-04,1,1,1,9.652583028025047e-06,0.9999903474169718,0.9999903474169718,False
2022-03-07,1,1,1,0.0002077978481457859,0.9997922021518345,0.9997922021518345,False
2022-03-08,1,0,1,0.01021361579427134,0.9897863842057616,0.9897863842057616,False
2022-03-09,1,0,1,0.030979041220744463,0.9690209587791159,0.9690209587791159,False
2022-03-10,0,0,1,0.5234733439669077,0.4765266560328784,0.5234733439669077,True
2022-03-11,0,0,0,0.9949484209427849,0.005051579057113368,0.9949484209427849,False
2022-03-14,0,0,0,0.9999261631868172,7.383681310299672e-05,0.9999261631868172,False
2022-03-15,0,0,0,0.999448715952871,0.0005512840472906207,0.999448715952871,False
2022-03-16,0,0,0,0.9937507242439348,0.006249275756136055,0.9937507242439348,False
2022-03-17,0,1,0,0.908603449794364,0.09139655020559852,0.908603449794364,False
2022-03-18,1,1,1,0.26390075484300585,0.7360992451570101,0.7360992451570101,False
2022-03-21,1,1,1,0.005711430851204968,0.994288569148739,0.994288569148739,False
2022-03-22,1,1,1,4.876902455046291e-05,0.9999512309755951,0.9999512309755951,False
2022-03-23,1,1,1,2.3803347583486162e-05,0.9999761966523658,0.9999761966523658,False
2022-03-24,1,1,1,1.6673956965642093e-05,0.9999833260429525,0.9999833260429525,False
2022-03-25,1,1,1,4.35265596976286e-05,0.9999564734403761,0.9999564734403761,False
2022-03-28,1,1,1,2.6904948928319577e-05,0.9999730950512115,0.9999730950512115,False
2022-03-29,1,1,1,3.7266317532144884e-05,0.9999627336824305,0.9999627336824305,False
2022-03-30,1,1,1,4.499247091700383e-05,0.9999550075289484,0.9999550075289484,False
2022-03-31,1,1,1,1.9782954401659697e-05,0.999980217045648,0.999980217045648,False
2022-04-01,1,1,1,1.1735764238244403e-05,0.9999882642357237,0.9999882642357237,False
2022-04-04,1,1,1,1.4690490672310927e-06,0.9999985309511307,0.9999985309511307,False
2022-04-05,1,1,1,5.521404761202769e-07,0.9999994478595614,0.9999994478595614,False
2022-04-06,1,1,1,1.3004262707949301e-06,0.9999986995739434,0.9999986995739434,False
2022-04-07,1,1,1,2.2653107683753256e-06,0.9999977346890966,0.9999977346890966,False
2022-04-08,1,1,1,1.1987981266397863e-06,0.9999988012016638,0.9999988012016638,False
2022-04-11,1,1,1,3.980092740991978e-07,0.9999996019906457,0.9999996019906457,False
2022-04-12,1,1,1,1.729067364117402e-07,0.9999998270932487,0.9999998270932487,False
2022-04-13,1,1,1,1.2320827269174995e-07,0.9999998767916698,0.9999998767916698,False
2022-04-14,1,1,1,4.0589903159699897e-08,0.9999999594101617,0.9999999594101617,False
2022-04-18,1,1,1,1.904373320530226e-08,0.9999999809560907,0.9999999809560907,False
2022-04-19,1,1,1,1.7130034252366677e-08,0.9999999828701222,0.9999999828701222,False
2022-04-20,1,1,1,1.2351111209754585e-08,0.999999987649062,0.999999987649062,False
2022-04-21,1,1,1,4.3264802504724137e-08,0.9999999567353379,0.9999999567353379,False
2022-04-22,1,1,1,6.524209675617048e-07,0.9999993475791907,0.9999993475791907,False
2022-04-25,1,1,1,6.711919608301362e-06,0.9999932880803194,0.9999932880803194,False
2022-04-26,1,1,1,8.825862834740539e-05,0.9999117413718721,0.9999117413718721,False
2022-04-27,1,1,1,3.002691871606993e-05,0.9999699730812412,0.9999699730812412,False
2022-04-28,1,1,1,1.5542346503275946e-06,0.9999984457652572,0.9999984457652572,False
2022-04-29,1,1,1,5.19370960259481e-07,0.9999994806290927,0.9999994806290927,False
2022-05-02,1,1,1,1.1337623593554164e-07,0.9999998866237612,0.9999998866237612,False
2022-05-03,1,1,1,6.53355908412243e-08,0.9999999346646312,0.9999999346646312,False
2022-05-04,1,1,1,5.659417202729965e-08,0.9999999434057842,0.9999999434057842,False
2022-05-05,1,1,1,6.059073481321433e-08,0.9999999394094649,0.9999999394094649,False
2022-05-06,1,1,1,2.403634187669965e-07,0.9999997596364953,0.9999997596364953,False
2022-05-09,1,1,1,2.6989191796043355e-06,0.9999973010808431,0.9999973010808431,False
2022-05-10,1,1,1,3.8097480684432773e-05,0.9999619025192676,0.9999619025192676,False
2022-05-11,1,1,1,0.002070180477163016,0.9979298195227526,0.9979298195227526,False
2022-05-12,1,0,1,0.3904277635937196,0.6095722364064233,0.6095722364064233,False
2022-05-13,0,0,0,0.9999318951650192,6.810483514267471e-05,0.9999318951650192,False
2022-05-16,0,0,0,0.9999999999108695,8.896382302532222e-11,0.9999999999108695,False
2022-05-17,0,0,0,0.9999999994893187,5.106243815935177e-10,0.9999999994893187,False
2022-05-18,0,0,0,1.0,8.565807999649953e-15,1.0,False
2022-05-19,0,0,0,1.0,1.073593765838045e-18,1.0,False
2022-05-20,0,0,0,1.0,7.208888339840844e-22,1.0,False
2022-05-23,0,0,0,1.0,8.377260908927372e-24,1.0,False
2022-05-24,0,0,0,1.0,1.8371191930842123e-29,1.0,False
2022-05-25,0,0,0,1.0,1.5049023798496646e-31,1.0,False
2022-05-26,0,0,0,1.0,1.3767793722717332e-32,1.0,False
2022-05-27,0,0,0,1.0,2.571888275681245e-32,1.0,False
2022-05-31,0,0,0,1.0,1.884748073243007e-34,1.0,False
2022-06-01,0,0,0,1.0,6.094275227406976e-40,1.0,False
